document,question,answer,source,document_type,document_length,question_length,answer_length,answer_to_document_ratio,question_ru,answer_ru,document_ru,question_type,document_ru_clean,question_ru_clean,answer_ru_clean,instruct
"because of their occasional need to return to shallow points in a search
tree, existing backtracking methods can sometimes erase meaningful progress
toward solving a search problem. in this paper, we present a method by which
backtrack points can be moved deeper in the search space, thereby avoiding this
difficulty. the technique developed is a variant of dependency-directed
backtracking that uses only polynomial space while still providing useful
control information and retaining the completeness guarantees provided by
earlier approaches.",what are the key findings or results of this research?,"the technique developed is a variant of dependency-directed
backtracking that uses only polynomial space while still providing useful
control information and retaining the completeness guarantees provided by
earlier approaches.",arXiv,Scientific Abstract,545,54,227,0.4165137614678899,Каковы основные выводы или результаты этого исследования?,"b) разработанная методика представляет собой вариант обратного отслеживания зависимости с использованием только полиномического пространства при одновременном предоставлении полезной информации о контроле и сохранении гарантий полноты, предусмотренных предыдущими подходами.","Из-за того, что им время от времени приходится возвращаться в неглубокие точки в дерево для поиска, существующие методы обратного слежения могут иногда стирать значительный прогресс в решении проблемы поиска. В настоящем документе мы представляем метод, с помощью которого точки обратного направления могут быть перенесены глубже в пространство для поиска, тем самым избегая этой трудности. b) разработанная методика представляет собой вариант обратного отслеживания зависимости с использованием только полиномического пространства при одновременном предоставлении полезной информации о контроле и сохранении гарантий полноты, предусмотренных предыдущими подходами.",как,"из-за того, что им время от времени приходится возвращаться в неглубокие точки в дерево для поиска, существующие методы обратного слежения могут иногда стирать значительный прогресс в решении проблемы поиска. в настоящем документе мы представляем метод, с помощью которого точки обратного направления могут быть перенесены глубже в пространство для поиска, тем самым избегая этой трудности. b) разработанная методика представляет собой вариант обратного отслеживания зависимости с использованием только полиномического пространства при одновременном предоставлении полезной информации о контроле и сохранении гарантий полноты, предусмотренных предыдущими подходами.",каковы основные выводы или результаты этого исследования?,"b) разработанная методика представляет собой вариант обратного отслеживания зависимости с использованием только полиномического пространства при одновременном предоставлении полезной информации о контроле и сохранении гарантий полноты, предусмотренных предыдущими подходами."," Тебе дан документ со следующим содержанием: 
из-за того, что им время от времени приходится возвращаться в неглубокие точки в дерево для поиска, существующие методы обратного слежения могут иногда стирать значительный прогресс в решении проблемы поиска. в настоящем документе мы представляем метод, с помощью которого точки обратного направления могут быть перенесены глубже в пространство для поиска, тем самым избегая этой трудности. b) разработанная методика представляет собой вариант обратного отслеживания зависимости с использованием только полиномического пространства при одновременном предоставлении полезной информации о контроле и сохранении гарантий полноты, предусмотренных предыдущими подходами. 

Ответь на вопрос: каковы основные выводы или результаты этого исследования?"
"dimensionality reduction is a topic of recent interest. in this paper, we
present the classification constrained dimensionality reduction (ccdr)
algorithm to account for label information. the algorithm can account for
multiple classes as well as the semi-supervised setting. we present an
out-of-sample expressions for both labeled and unlabeled data. for unlabeled
data, we introduce a method of embedding a new point as preprocessing to a
classifier. for labeled data, we introduce a method that improves the embedding
during the training phase using the out-of-sample extension. we investigate
classification performance using the ccdr algorithm on hyper-spectral satellite
imagery data. we demonstrate the performance gain for both local and global
classifiers and demonstrate a 10% improvement of the $k$-nearest neighbors
algorithm performance. we present a connection between intrinsic dimension
estimation and the optimal embedding dimension obtained using the ccdr
algorithm.",what are the key findings or results of this research?,"we present a connection between intrinsic dimension
estimation and the optimal embedding dimension obtained using the ccdr
algorithm.",arXiv,Scientific Abstract,985,54,133,0.1350253807106599,Каковы основные выводы или результаты этого исследования?,"Мы представляем связь между оценкой внутренних размеров и оптимальным измерением, полученным с помощью алгоритма ccdr.","В настоящем документе мы представляем алгоритм ограничения размеров (ccdr) классификации для учета информации о маркировке. Этот алгоритм может учитывать несколько классов, а также полуконтролируемые параметры. Мы представляем выдержки из выборки как для помеченных, так и для немаркированных данных. Для немаркированных данных мы введем метод включения новой точки в качестве предварительной обработки в классификатор. Для маркированных данных мы введем метод, который улучшит процесс внедрения на этапе обучения с использованием некадрового расширения. Мы исследуем эффективность классификации с использованием алгоритма ccdr для гиперспектральных спутниковых снимков. Мы продемонстрируем прирост эффективности как для местных, так и для глобальных классификаторов и продемонстрируем 10% улучшения алгоритма для соседей с низким уровнем дохода. Мы представляем связь между оценкой внутренних размеров и оптимальным измерением, полученным с помощью алгоритма ccdr.",как,"в настоящем документе мы представляем алгоритм ограничения размеров (ccdr) классификации для учета информации о маркировке. этот алгоритм может учитывать несколько классов, а также полуконтролируемые параметры. мы представляем выдержки из выборки как для помеченных, так и для немаркированных данных. для немаркированных данных мы введем метод включения новой точки в качестве предварительной обработки в классификатор. для маркированных данных мы введем метод, который улучшит процесс внедрения на этапе обучения с использованием некадрового расширения. мы исследуем эффективность классификации с использованием алгоритма ccdr для гиперспектральных спутниковых снимков. мы продемонстрируем прирост эффективности как для местных, так и для глобальных классификаторов и продемонстрируем 10% улучшения алгоритма для соседей с низким уровнем дохода. мы представляем связь между оценкой внутренних размеров и оптимальным измерением, полученным с помощью алгоритма ccdr.",каковы основные выводы или результаты этого исследования?,"мы представляем связь между оценкой внутренних размеров и оптимальным измерением, полученным с помощью алгоритма ccdr."," Тебе дан документ со следующим содержанием: 
в настоящем документе мы представляем алгоритм ограничения размеров (ccdr) классификации для учета информации о маркировке. этот алгоритм может учитывать несколько классов, а также полуконтролируемые параметры. мы представляем выдержки из выборки как для помеченных, так и для немаркированных данных. для немаркированных данных мы введем метод включения новой точки в качестве предварительной обработки в классификатор. для маркированных данных мы введем метод, который улучшит процесс внедрения на этапе обучения с использованием некадрового расширения. мы исследуем эффективность классификации с использованием алгоритма ccdr для гиперспектральных спутниковых снимков. мы продемонстрируем прирост эффективности как для местных, так и для глобальных классификаторов и продемонстрируем 10% улучшения алгоритма для соседей с низким уровнем дохода. мы представляем связь между оценкой внутренних размеров и оптимальным измерением, полученным с помощью алгоритма ccdr. 

Ответь на вопрос: каковы основные выводы или результаты этого исследования?"
"we consider discrete time models for asset prices with a stationary
volatility process. we aim at estimating the multivariate density of this
process at a set of consecutive time instants. a fourier type deconvolution
kernel density estimator based on the logarithm of the squared process is
proposed to estimate the volatility density. expansions of the bias and bounds
on the variance are derived.",what are the key findings or results of this research?,"expansions of the bias and bounds
on the variance are derived.",arXiv,Scientific Abstract,399,54,62,0.1553884711779448,Каковы основные выводы или результаты этого исследования?,Высчитываются размеры отклонений и пределы разницы.,Мы рассматриваем дискретные временные модели для цен на активы с стационарным процессом волатильности. Мы стремимся оценить многовариантную плотность этого процесса в ряде последовательных мгновений. Для оценки плотности волатильности предлагается произвести оценку плотности ядер четвёртого типа на основе логарифма квадратного процесса.,как,мы рассматриваем дискретные временные модели для цен на активы с стационарным процессом волатильности. мы стремимся оценить многовариантную плотность этого процесса в ряде последовательных мгновений. для оценки плотности волатильности предлагается произвести оценку плотности ядер четвёртого типа на основе логарифма квадратного процесса.,каковы основные выводы или результаты этого исследования?,высчитываются размеры отклонений и пределы разницы.," Тебе дан документ со следующим содержанием: 
мы рассматриваем дискретные временные модели для цен на активы с стационарным процессом волатильности. мы стремимся оценить многовариантную плотность этого процесса в ряде последовательных мгновений. для оценки плотности волатильности предлагается произвести оценку плотности ядер четвёртого типа на основе логарифма квадратного процесса. 

Ответь на вопрос: каковы основные выводы или результаты этого исследования?"
"we derive asymptotic normality of kernel type deconvolution density
estimators. in particular we consider deconvolution problems where the known
component of the convolution has a symmetric lambda-stable distribution,
0<lambda<= 2. it turns out that the limit behavior changes if the exponent
parameter lambda passes the value one, the case of cauchy deconvolution.","what is the main topic of the paper titled 'asymptotic normality of nonparametric kernel type deconvolution density
  estimators: crossing the cauchy boundary'?","we derive asymptotic normality of kernel type deconvolution density
estimators.",arXiv,Scientific Abstract,365,160,79,0.2164383561643835,"Что является главной темой документа, озаглавленной ""Асимптотическая нормальность непараметрического типа ядра для оценки плотности: пересечение границы растяжения""?",Мы вычисляем асимптотичность нормальных оценок плотности ядра.,"Мы вычисляем асимптотивную нормальную нормальность оценки плотности ядер типа декоммуляционной плотности. В частности, мы рассматриваем проблемы деструкции, когда известный компонент созревания имеет симметричное лямбда-стабильное распределение, 0<lambda>= 2. Оказывается, что предельное поведение меняется, если параметр экспонентной лямбда переходит значение 1, в случае бандной декомпрессии.",что/какой,"мы вычисляем асимптотивную нормальную нормальность оценки плотности ядер типа декоммуляционной плотности. в частности, мы рассматриваем проблемы деструкции, когда известный компонент созревания имеет симметричное лямбда-стабильное распределение, 0<lambda>= 2. оказывается, что предельное поведение меняется, если параметр экспонентной лямбда переходит значение 1, в случае бандной декомпрессии.","что является главной темой документа, озаглавленной ""асимптотическая нормальность непараметрического типа ядра для оценки плотности: пересечение границы растяжения""?",мы вычисляем асимптотичность нормальных оценок плотности ядра.," Тебе дан документ со следующим содержанием: 
мы вычисляем асимптотивную нормальную нормальность оценки плотности ядер типа декоммуляционной плотности. в частности, мы рассматриваем проблемы деструкции, когда известный компонент созревания имеет симметричное лямбда-стабильное распределение, 0<lambda>= 2. оказывается, что предельное поведение меняется, если параметр экспонентной лямбда переходит значение 1, в случае бандной декомпрессии. 

Ответь на вопрос: что является главной темой документа, озаглавленной ""асимптотическая нормальность непараметрического типа ядра для оценки плотности: пересечение границы растяжения""?"
"we study theoretical and computational aspects of the least squares fit (lsf)
of circles and circular arcs. first we discuss the existence and uniqueness of
lsf and various parametrization schemes. then we evaluate several popular
circle fitting algorithms and propose a new one that surpasses the existing
methods in reliability. we also discuss and compare direct (algebraic) circle
fits.",what are the key findings or results of this research?,"we also discuss and compare direct (algebraic) circle
fits.",arXiv,Scientific Abstract,390,54,59,0.1512820512820512,Каковы основные выводы или результаты этого исследования?,Мы также обсуждаем и сравниваем прямые (алгебраические) кружки.,"Мы изучаем теоретические и вычислительные аспекты наименьших квадратов, соответствующих (lsf) кругам и круговым дугам. Сначала мы обсуждаем существование и уникальность Isf и различных схем параметризации. Затем мы оцениваем несколько популярных алгоритмов установки круга и предлагаем новый алгоритм, который превосходит существующие методы в надежности. Мы также обсуждаем и сравниваем прямые (алгебраические) циклы.",как,"мы изучаем теоретические и вычислительные аспекты наименьших квадратов, соответствующих (lsf) кругам и круговым дугам. сначала мы обсуждаем существование и уникальность isf и различных схем параметризации. затем мы оцениваем несколько популярных алгоритмов установки круга и предлагаем новый алгоритм, который превосходит существующие методы в надежности. мы также обсуждаем и сравниваем прямые (алгебраические) циклы.",каковы основные выводы или результаты этого исследования?,мы также обсуждаем и сравниваем прямые (алгебраические) кружки.," Тебе дан документ со следующим содержанием: 
мы изучаем теоретические и вычислительные аспекты наименьших квадратов, соответствующих (lsf) кругам и круговым дугам. сначала мы обсуждаем существование и уникальность isf и различных схем параметризации. затем мы оцениваем несколько популярных алгоритмов установки круга и предлагаем новый алгоритм, который превосходит существующие методы в надежности. мы также обсуждаем и сравниваем прямые (алгебраические) циклы. 

Ответь на вопрос: каковы основные выводы или результаты этого исследования?"
"cross-validation is a useful and generally applicable technique often
employed in machine learning, including decision tree induction. an important
disadvantage of straightforward implementation of the technique is its
computational overhead. in this paper we show that, for decision trees, the
computational overhead of cross-validation can be reduced significantly by
integrating the cross-validation with the normal decision tree induction
process. we discuss how existing decision tree algorithms can be adapted to
this aim, and provide an analysis of the speedups these adaptations may yield.
the analysis is supported by experimental results.",what are the key findings or results of this research?,the analysis is supported by experimental results.,arXiv,Scientific Abstract,648,54,50,0.0771604938271604,Каковы основные выводы или результаты этого исследования?,Этот анализ подкрепляется результатами экспериментов.,"В настоящем документе показано, что для деревьев, где принимаются решения, расчетные накладные расходы, связанные с перекрестным утверждением, могут быть значительно сокращены за счет интегрирования перекрестной проверки с обычным процессом встраивания деревьев для принятия решений. Мы обсуждаем вопрос о том, каким образом существующие алгоритмы деревьев принятия решений могут быть адаптированы к этой цели, и проводим анализ скоростей, которые могут быть получены в результате этой адаптации. Этот анализ подкрепляется экспериментальными результатами.",как,"в настоящем документе показано, что для деревьев, где принимаются решения, расчетные накладные расходы, связанные с перекрестным утверждением, могут быть значительно сокращены за счет интегрирования перекрестной проверки с обычным процессом встраивания деревьев для принятия решений. мы обсуждаем вопрос о том, каким образом существующие алгоритмы деревьев принятия решений могут быть адаптированы к этой цели, и проводим анализ скоростей, которые могут быть получены в результате этой адаптации. этот анализ подкрепляется экспериментальными результатами.",каковы основные выводы или результаты этого исследования?,этот анализ подкрепляется результатами экспериментов.," Тебе дан документ со следующим содержанием: 
в настоящем документе показано, что для деревьев, где принимаются решения, расчетные накладные расходы, связанные с перекрестным утверждением, могут быть значительно сокращены за счет интегрирования перекрестной проверки с обычным процессом встраивания деревьев для принятия решений. мы обсуждаем вопрос о том, каким образом существующие алгоритмы деревьев принятия решений могут быть адаптированы к этой цели, и проводим анализ скоростей, которые могут быть получены в результате этой адаптации. этот анализ подкрепляется экспериментальными результатами. 

Ответь на вопрос: каковы основные выводы или результаты этого исследования?"
"the paper describes the speech to speech translation system intarc, developed
during the first phase of the verbmobil project. the general design goals of
the intarc system architecture were time synchronous processing as well as
incrementality and interactivity as a means to achieve a higher degree of
robustness and scalability. interactivity means that in addition to the
bottom-up (in terms of processing levels) data flow the ability to process
top-down restrictions considering the same signal segment for all processing
levels. the construction of intarc 2.0, which has been operational since fall
1996, followed an engineering approach focussing on the integration of symbolic
(linguistic) and stochastic (recognition) techniques which led to a
generalization of the concept of a ``one pass'' beam search.","what is the main topic of the paper titled 'architectural considerations for conversational systems -- the
  verbmobil/intarc experience'?","the paper describes the speech to speech translation system intarc, developed
during the first phase of the verbmobil project.",arXiv,Scientific Abstract,814,138,126,0.1547911547911548,"Что является главной темой документа, озаглавленной ""Архитектурные соображения для разговорных систем - глаголмомобильный/интарный опыт""?","В документе описывается система перевода речи, разработанная на первом этапе проекта глаголмомобиля.","В документе описывается система перевода речи, разработанная на первом этапе проекта глаголмомобильной системы. Общие проектные цели архитектуры системы интарх заключались в синхронизации во времени, а также в постепенности и интерактивности в качестве средства достижения более высокой степени надежности и масштабируемости. Интерактивность означает, что в дополнение к данным снизу вверх (с точки зрения уровней обработки) возникает возможность обрабатывать нисходящие ограничения с учетом одного и того же сегмента сигнала для всех уровней обработки.",что/какой,"в документе описывается система перевода речи, разработанная на первом этапе проекта глаголмомобильной системы. общие проектные цели архитектуры системы интарх заключались в синхронизации во времени, а также в постепенности и интерактивности в качестве средства достижения более высокой степени надежности и масштабируемости. интерактивность означает, что в дополнение к данным снизу вверх (с точки зрения уровней обработки) возникает возможность обрабатывать нисходящие ограничения с учетом одного и того же сегмента сигнала для всех уровней обработки.","что является главной темой документа, озаглавленной ""архитектурные соображения для разговорных систем - глаголмомобильный/интарный опыт""?","в документе описывается система перевода речи, разработанная на первом этапе проекта глаголмомобиля."," Тебе дан документ со следующим содержанием: 
в документе описывается система перевода речи, разработанная на первом этапе проекта глаголмомобильной системы. общие проектные цели архитектуры системы интарх заключались в синхронизации во времени, а также в постепенности и интерактивности в качестве средства достижения более высокой степени надежности и масштабируемости. интерактивность означает, что в дополнение к данным снизу вверх (с точки зрения уровней обработки) возникает возможность обрабатывать нисходящие ограничения с учетом одного и того же сегмента сигнала для всех уровней обработки. 

Ответь на вопрос: что является главной темой документа, озаглавленной ""архитектурные соображения для разговорных систем - глаголмомобильный/интарный опыт""?"
"we present a new method to transform the spectral pixel information of a
micrograph into an affine geometric description, which allows us to analyze the
morphology of granular materials. we use spectral and pulse-coupled neural
network based segmentation techniques to generate blobs, and a newly developed
algorithm to extract dilated contours. a constrained delaunay tesselation of
the contour points results in a triangular mesh. this mesh is the basic
ingredient of the chodal axis transform, which provides a morphological
decomposition of shapes. such decomposition allows for grain separation and the
efficient computation of the statistical features of granular materials.",what are the key findings or results of this research?,"such decomposition allows for grain separation and the
efficient computation of the statistical features of granular materials.",arXiv,Scientific Abstract,680,54,127,0.1867647058823529,Каковы основные выводы или результаты этого исследования?,такое разложение позволяет отделять зерно и эффективно рассчитывать статистические характеристики гранулированных материалов.,"Мы представляем новый метод преобразования спектральной пиксельной информации микрографа в аффиновое геометрическое описание, которое позволяет нам анализировать морфологию гранулярных материалов. Мы используем спектральные и пульсированные технологии сегментации на основе нейронной сети для создания блобов, и недавно разработанный алгоритм для извлечения расширенных контуров. Это сетка является основным ингредиентом преобразования хромальной оси, которая обеспечивает морфологическое разложение форм. Такое разложение позволяет отделять зерно и эффективно рассчитывать статистические характеристики гранулированных материалов.",как,"мы представляем новый метод преобразования спектральной пиксельной информации микрографа в аффиновое геометрическое описание, которое позволяет нам анализировать морфологию гранулярных материалов. мы используем спектральные и пульсированные технологии сегментации на основе нейронной сети для создания блобов, и недавно разработанный алгоритм для извлечения расширенных контуров. это сетка является основным ингредиентом преобразования хромальной оси, которая обеспечивает морфологическое разложение форм. такое разложение позволяет отделять зерно и эффективно рассчитывать статистические характеристики гранулированных материалов.",каковы основные выводы или результаты этого исследования?,такое разложение позволяет отделять зерно и эффективно рассчитывать статистические характеристики гранулированных материалов.," Тебе дан документ со следующим содержанием: 
мы представляем новый метод преобразования спектральной пиксельной информации микрографа в аффиновое геометрическое описание, которое позволяет нам анализировать морфологию гранулярных материалов. мы используем спектральные и пульсированные технологии сегментации на основе нейронной сети для создания блобов, и недавно разработанный алгоритм для извлечения расширенных контуров. это сетка является основным ингредиентом преобразования хромальной оси, которая обеспечивает морфологическое разложение форм. такое разложение позволяет отделять зерно и эффективно рассчитывать статистические характеристики гранулированных материалов. 

Ответь на вопрос: каковы основные выводы или результаты этого исследования?"
"in this paper an iterated function system on the space of distribution
functions is built. the inverse problem is introduced and studied by convex
optimization problems. some applications of this method to approximation of
distribution functions and to estimation theory are given.",what are the key findings or results of this research?,"some applications of this method to approximation of
distribution functions and to estimation theory are given.",arXiv,Scientific Abstract,281,54,111,0.395017793594306,Каковы основные выводы или результаты этого исследования?,В докладе приводятся некоторые виды применения этого метода для приближения функций распределения и для оценки теории.,В настоящем документе предусматривается создание итерированной системы функций на пространстве дистрибьюторских функций. Обратная проблема возникает и изучается с помощью выпуклых проблем оптимизации. Приводится информация о некоторых видах применения этого метода для приближения функций распределения и теории оценки.,как,в настоящем документе предусматривается создание итерированной системы функций на пространстве дистрибьюторских функций. обратная проблема возникает и изучается с помощью выпуклых проблем оптимизации. приводится информация о некоторых видах применения этого метода для приближения функций распределения и теории оценки.,каковы основные выводы или результаты этого исследования?,в докладе приводятся некоторые виды применения этого метода для приближения функций распределения и для оценки теории.," Тебе дан документ со следующим содержанием: 
в настоящем документе предусматривается создание итерированной системы функций на пространстве дистрибьюторских функций. обратная проблема возникает и изучается с помощью выпуклых проблем оптимизации. приводится информация о некоторых видах применения этого метода для приближения функций распределения и теории оценки. 

Ответь на вопрос: каковы основные выводы или результаты этого исследования?"
"this paper describes the incremental generation of parse tables for the
lr-type parsing of tree adjoining languages (tals). the algorithm presented
handles modifications to the input grammar by updating the parser generated so
far. in this paper, a lazy generation of lr-type parsers for tals is defined in
which parse tables are created by need while parsing. we then describe an
incremental parser generator for tals which responds to modification of the
input grammar by updating parse tables built so far.",what are the key findings or results of this research?,"we then describe an
incremental parser generator for tals which responds to modification of the
input grammar by updating parse tables built so far.",arXiv,Scientific Abstract,509,54,148,0.2907662082514735,Каковы основные выводы или результаты этого исследования?,"Затем мы описываем дополнительный генератор парзеров для талс, который реагирует на модификацию входных грамматических параметров путем обновления составляемых до настоящего времени таблиц parse.","В настоящем документе ленивое поколение parsers lr-type для tales определяется тем, в котором таблицы parse создаются в зависимости от потребностей. Затем мы описываем дополнительный генератор парзеров для талс, который реагирует на модификацию входных грамматических параметров путем обновления составляемых до настоящего времени таблиц parse.",как,"в настоящем документе ленивое поколение parsers lr-type для tales определяется тем, в котором таблицы parse создаются в зависимости от потребностей. затем мы описываем дополнительный генератор парзеров для талс, который реагирует на модификацию входных грамматических параметров путем обновления составляемых до настоящего времени таблиц parse.",каковы основные выводы или результаты этого исследования?,"затем мы описываем дополнительный генератор парзеров для талс, который реагирует на модификацию входных грамматических параметров путем обновления составляемых до настоящего времени таблиц parse."," Тебе дан документ со следующим содержанием: 
в настоящем документе ленивое поколение parsers lr-type для tales определяется тем, в котором таблицы parse создаются в зависимости от потребностей. затем мы описываем дополнительный генератор парзеров для талс, который реагирует на модификацию входных грамматических параметров путем обновления составляемых до настоящего времени таблиц parse. 

Ответь на вопрос: каковы основные выводы или результаты этого исследования?"
