document,title,document_ru,document_type,source,document_length,question,correct_answer,question_ru,answer_ru,is_test_case,question_length,question_type,answer,answer_length,answer_to_document_ratio
"Text-to-speech (TTS) technology has achieved impressive results for widely
spoken languages, yet many under-resourced languages remain challenged by
limited data and linguistic complexities. In this paper, we present a novel
methodology that integrates a data-optimized framework with an advanced
acoustic model to build high-quality TTS systems for low-resource scenarios. We
demonstrate the effectiveness of our approach using Thai as an illustrative
case, where intricate phonetic rules and sparse resources are effectively
addressed. Our method enables zero-shot voice cloning and improved performance
across diverse client applications, ranging from finance to healthcare,
education, and law. Extensive evaluations - both subjective and objective -
confirm that our model meets state-of-the-art standards, offering a scalable
solution for TTS production in data-limited settings, with significant
implications for broader industry adoption and multilingual accessibility.","Empowering Global Voices: A Data-Efficient, Phoneme-Tone Adaptive Approach to High-Fidelity Speech Synthesis",,scientific,arXiv_new,976,,,,,,,,,0,0.0
"Aligning large language models with human preferences is crucial for their
safe deployment. While Direct Preference Optimization (DPO) offers an efficient
alternative to reinforcement learning from human feedback, traditional DPO
methods are limited by their reliance on single preference pairs. Recent work
like Curriculum-DPO integrates multiple pairs using a one-dimensional
difficulty curriculum based on pairwise distinguishability (PD), but overlooks
the complexity of the input prompt itself. To address this, we propose
2D-Curri-DPO, a novel framework employing a two-dimensional curriculum that
jointly models Prompt Complexity (PC) and Pairwise Distinguishability. This
framework introduces dual difficulty metrics to quantify prompt semantic
complexity and response preference clarity, defines a curriculum strategy space
encompassing multiple selectable strategies for task adaptation, and
incorporates a KL-divergence-based adaptive mechanism for dynamic reference
model updates to enhance training stability. Comprehensive experiments
demonstrate that 2D-Curri-DPO significantly outperforms standard DPO and prior
curriculum methods across multiple benchmarks, including MT-Bench, Vicuna
Bench, and WizardLM. Our approach achieves state-of-the-art performance on
challenging test sets like UltraFeedback. Ablation studies confirm the benefits
of the 2D structure and adaptive mechanisms, while analysis provides guidance
for strategy selection. These findings demonstrate that effective alignment
requires modeling both prompt complexity and pairwise distinguishability,
establishing adaptive, multi-dimensional curriculum learning as a powerful and
interpretable new paradigm for preference-based language model optimization.",2D-Curri-DPO: Two-Dimensional Curriculum Learning for Direct Preference Optimization,,scientific,arXiv_new,1740,,,,,,,,,0,0.0
"Practically all large language models have been pre-trained on data that is
subject to global uncertainty related to copyright infringement and breach of
contract. This creates potential risk for users and developers due to this
uncertain legal status. The KL3M Data Project directly confronts this critical
issue by introducing the largest comprehensive training data pipeline that
minimizes risks related to copyright or breach of contract. The foundation of
this project is a corpus of over 132 million documents and trillions of tokens
spanning 16 different sources that have been verified to meet the strict
copyright and licensing protocol detailed herein. We are releasing the entire
pipeline, including 1) the source code to acquire and process these documents,
2) the original document formats with associated provenance and metadata, 3)
extracted content in a standardized format, 4) pre-tokenized representations of
the documents, and 5) various mid- and post-train resources such as
question-answer, summarization, conversion, drafting, classification,
prediction, and conversational data. All of these resources are freely
available to the public on S3, Hugging Face, and GitHub under CC-BY terms. We
are committed to continuing this project in furtherance of a more ethical,
legal, and sustainable approach to the development and use of AI models.",The KL3M Data Project: Copyright-Clean Training Resources for Large Language Models,,scientific,arXiv_new,1361,,,,,,,,,0,0.0
"A popular approach to neurosymbolic AI is to take the output of the last
layer of a neural network, e.g. a softmax activation, and pass it through a
sparse computation graph encoding certain logical constraints one wishes to
enforce. This induces a probability distribution over a set of random
variables, which happen to be conditionally independent of each other in many
commonly used neurosymbolic AI models. Such conditionally independent random
variables have been deemed harmful as their presence has been observed to
co-occur with a phenomenon dubbed deterministic bias, where systems learn to
deterministically prefer one of the valid solutions from the solution space
over the others. We provide evidence contesting this conclusion and show that
the phenomenon of deterministic bias is an artifact of improperly applying
neurosymbolic AI.",Independence Is Not an Issue in Neurosymbolic AI,,scientific,arXiv_new,847,,,,,,,,,0,0.0
"PIBT is a popular Multi-Agent Path Finding (MAPF) method at the core of many
state-of-the-art MAPF methods including LaCAM, CS-PIBT, and WPPL. The main
utility of PIBT is that it is a very fast and effective single-step MAPF solver
and can return a collision-free single-step solution for hundreds of agents in
less than a millisecond. However, the main drawback of PIBT is that it is
extremely greedy in respect to its priorities and thus leads to poor solution
quality. Additionally, PIBT cannot use all the planning time that might be
available to it and returns the first solution it finds. We thus develop
Anytime PIBT, which quickly finds a one-step solution identically to PIBT but
then continuously improves the solution in an anytime manner. We prove that
Anytime PIBT converges to the optimal solution given sufficient time. We
experimentally validate that Anytime PIBT can rapidly improve single-step
solution quality within milliseconds and even find the optimal single-step
action. However, we interestingly find that improving the single-step solution
quality does not have a significant effect on full-horizon solution costs.",Anytime Single-Step MAPF Planning with Anytime PIBT,,scientific,arXiv_new,1140,,,,,,,,,0,0.0
"Large Language Models (LLMs) have transformed human-computer interaction by
enabling natural language-based communication with AI-powered chatbots. These
models are designed to be intuitive and user-friendly, allowing users to
articulate requests with minimal effort. However, despite their accessibility,
studies reveal that users often struggle with effective prompting, resulting in
inefficient responses. Existing research has highlighted both the limitations
of LLMs in interpreting vague or poorly structured prompts and the difficulties
users face in crafting precise queries. This study investigates learner-AI
interactions through an educational experiment in which participants receive
structured guidance on effective prompting. We introduce and compare three
types of prompting guidelines: a task-specific framework developed through a
structured methodology and two baseline approaches. To assess user behavior and
prompting efficacy, we analyze a dataset of 642 interactions from 107 users.
Using Von NeuMidas, an extended pragmatic annotation schema for LLM interaction
analysis, we categorize common prompting errors and identify recurring
behavioral patterns. We then evaluate the impact of different guidelines by
examining changes in user behavior, adherence to prompting strategies, and the
overall quality of AI-generated responses. Our findings provide a deeper
understanding of how users engage with LLMs and the role of structured
prompting guidance in enhancing AI-assisted communication. By comparing
different instructional frameworks, we offer insights into more effective
approaches for improving user competency in AI interactions, with implications
for AI literacy, chatbot usability, and the design of more responsive AI
systems.",Understanding Learner-LLM Chatbot Interactions and the Impact of Prompting Guidelines,,scientific,arXiv_new,1761,,,,,,,,,0,0.0
"Intrusion Detection Systems (IDS) have long been a hot topic in the
cybersecurity community. In recent years, with the introduction of deep
learning (DL) techniques, IDS have made great progress due to their increasing
generalizability. The rationale behind this is that by learning the underlying
patterns of known system behaviors, IDS detection can be generalized to
intrusions that exploit zero-day vulnerabilities. In this survey, we refer to
this type of IDS as DL-based IDS (DL-IDS). From the perspective of DL, this
survey systematically reviews all the stages of DL-IDS, including data
collection, log storage, log parsing, graph summarization, attack detection,
and attack investigation. To accommodate current researchers, a section
describing the publicly available benchmark datasets is included. This survey
further discusses current challenges and potential future research directions,
aiming to help researchers understand the basic ideas and visions of DL-IDS
research, as well as to motivate their research interests.",Deep Learning-based Intrusion Detection Systems: A Survey,,scientific,arXiv_new,1035,,,,,,,,,0,0.0
"Visual grounding (VG) aims to localize target objects in an image based on
natural language descriptions. In this paper, we propose AerialVG, a new task
focusing on visual grounding from aerial views. Compared to traditional VG,
AerialVG poses new challenges, \emph{e.g.}, appearance-based grounding is
insufficient to distinguish among multiple visually similar objects, and
positional relations should be emphasized. Besides, existing VG models struggle
when applied to aerial imagery, where high-resolution images cause significant
difficulties. To address these challenges, we introduce the first AerialVG
dataset, consisting of 5K real-world aerial images, 50K manually annotated
descriptions, and 103K objects. Particularly, each annotation in AerialVG
dataset contains multiple target objects annotated with relative spatial
relations, requiring models to perform comprehensive spatial reasoning.
Furthermore, we propose an innovative model especially for the AerialVG task,
where a Hierarchical Cross-Attention is devised to focus on target regions, and
a Relation-Aware Grounding module is designed to infer positional relations.
Experimental results validate the effectiveness of our dataset and method,
highlighting the importance of spatial reasoning in aerial visual grounding.
The code and dataset will be released.",AerialVG: A Challenging Benchmark for Aerial Visual Grounding by Exploring Positional Relations,,scientific,arXiv_new,1329,,,,,,,,,0,0.0
"We demonstrate how AI agents can coordinate to deceive oversight systems
using automated interpretability of neural networks. Using sparse autoencoders
(SAEs) as our experimental framework, we show that language models (Llama,
DeepSeek R1, and Claude 3.7 Sonnet) can generate deceptive explanations that
evade detection. Our agents employ steganographic methods to hide information
in seemingly innocent explanations, successfully fooling oversight models while
achieving explanation quality comparable to reference labels. We further find
that models can scheme to develop deceptive strategies when they believe the
detection of harmful features might lead to negative consequences for
themselves. All tested LLM agents were capable of deceiving the overseer while
achieving high interpretability scores comparable to those of reference labels.
We conclude by proposing mitigation strategies, emphasizing the critical need
for robust understanding and defenses against deception.",Deceptive Automated Interpretability: Language Models Coordinating to Fool Oversight Systems,,scientific,arXiv_new,980,,,,,,,,,0,0.0
"We present a novel, open-source social network simulation framework, MOSAIC,
where generative language agents predict user behaviors such as liking,
sharing, and flagging content. This simulation combines LLM agents with a
directed social graph to analyze emergent deception behaviors and gain a better
understanding of how users determine the veracity of online social content. By
constructing user representations from diverse fine-grained personas, our
system enables multi-agent simulations that model content dissemination and
engagement dynamics at scale. Within this framework, we evaluate three
different content moderation strategies with simulated misinformation
dissemination, and we find that they not only mitigate the spread of
non-factual content but also increase user engagement. In addition, we analyze
the trajectories of popular content in our simulations, and explore whether
simulation agents' articulated reasoning for their social interactions truly
aligns with their collective engagement patterns. We open-source our simulation
software to encourage further research within AI and social sciences.",MOSAIC: Modeling Social AI for Content Dissemination and Regulation in Multi-Agent Simulations,,scientific,arXiv_new,1123,,,,,,,,,0,0.0
"Spatio-temporal traffic prediction is crucial in intelligent transportation
systems. The key challenge of accurate prediction is how to model the complex
spatio-temporal dependencies and adapt to the inherent dynamics in data.
Traditional Graph Convolutional Networks (GCNs) often struggle with static
adjacency matrices that introduce domain bias or learnable matrices that may be
overfitting to specific patterns. This challenge becomes more complex when
considering Multi-Task Learning (MTL). While MTL has the potential to enhance
prediction accuracy through task synergies, it can also face significant
hurdles due to task interference. To overcome these challenges, this study
introduces a novel MTL framework, Dynamic Group-wise Spatio-Temporal Multi-Task
Learning (DG-STMTL). DG-STMTL proposes a hybrid adjacency matrix generation
module that combines static matrices with dynamic ones through a task-specific
gating mechanism. We also introduce a group-wise GCN module to enhance the
modelling capability of spatio-temporal dependencies. We conduct extensive
experiments on two real-world datasets to evaluate our method. Results show
that our method outperforms other state-of-the-arts, indicating its
effectiveness and robustness.",DG-STMTL: A Novel Graph Convolutional Network for Multi-Task Spatio-Temporal Traffic Forecasting,,scientific,arXiv_new,1241,,,,,,,,,0,0.0
"We are interested in the estimation of a rank-one tensor signal when only a
portion $\varepsilon$ of its noisy observation is available. We show that the
study of this problem can be reduced to that of a random matrix model whose
spectral analysis gives access to the reconstruction performance. These results
shed light on and specify the loss of performance induced by an artificial
reduction of the memory cost of a tensor via the deletion of a random part of
its entries.",Performance of Rank-One Tensor Approximation on Incomplete Data,,scientific,arXiv_new,475,,,,,,,,,0,0.0
"Retrieval Augmented Generation (RAG) has emerged as a standard paradigm for
enhancing the factual accuracy and contextual relevance of Large Language
Models (LLMs) by integrating retrieval mechanisms. However, existing evaluation
frameworks fail to provide a holistic black-box approach to assessing RAG
systems, especially in real-world deployment scenarios. To address this gap, we
introduce SCARF (System for Comprehensive Assessment of RAG Frameworks), a
modular and flexible evaluation framework designed to benchmark deployed RAG
applications systematically. SCARF provides an end-to-end, black-box evaluation
methodology, enabling a limited-effort comparison across diverse RAG
frameworks. Our framework supports multiple deployment configurations and
facilitates automated testing across vector databases and LLM serving
strategies, producing a detailed performance report. Moreover, SCARF integrates
practical considerations such as response coherence, providing a scalable and
adaptable solution for researchers and industry professionals evaluating RAG
applications. Using the REST APIs interface, we demonstrate how SCARF can be
applied to real-world scenarios, showcasing its flexibility in assessing
different RAG frameworks and configurations. SCARF is available at GitHub
repository.",A System for Comprehensive Assessment of RAG Frameworks,,scientific,arXiv_new,1299,,,,,,,,,0,0.0
"Recent advances in Large Language Models (LLMs) have enabled their
application to recommender systems (RecLLMs), yet concerns remain regarding
fairness across demographic and psychological user dimensions. We introduce
FairEval, a novel evaluation framework to systematically assess fairness in
LLM-based recommendations. FairEval integrates personality traits with eight
sensitive demographic attributes,including gender, race, and age, enabling a
comprehensive assessment of user-level bias. We evaluate models, including
ChatGPT 4o and Gemini 1.5 Flash, on music and movie recommendations. FairEval's
fairness metric, PAFS, achieves scores up to 0.9969 for ChatGPT 4o and 0.9997
for Gemini 1.5 Flash, with disparities reaching 34.79 percent. These results
highlight the importance of robustness in prompt sensitivity and support more
inclusive recommendation systems.",FairEval: Evaluating Fairness in LLM-Based Recommendations with Personality Awareness,,scientific,arXiv_new,870,,,,,,,,,0,0.0
"Dynamic scheduling in real-world environments often struggles to adapt to
unforeseen disruptions, making traditional static scheduling methods and
human-designed heuristics inadequate. This paper introduces an innovative
approach that combines Genetic Programming (GP) with a Transformer trained
through Reinforcement Learning (GPRT), specifically designed to tackle the
complexities of dynamic scheduling scenarios. GPRT leverages the Transformer to
refine heuristics generated by GP while also seeding and guiding the evolution
of GP. This dual functionality enhances the adaptability and effectiveness of
the scheduling heuristics, enabling them to better respond to the dynamic
nature of real-world tasks. The efficacy of this integrated approach is
demonstrated through a practical application in container terminal truck
scheduling, where the GPRT method outperforms traditional GP, standalone
Transformer methods, and other state-of-the-art competitors. The key
contribution of this research is the development of the GPRT method, which
showcases a novel combination of GP and Reinforcement Learning (RL) to produce
robust and efficient scheduling solutions. Importantly, GPRT is not limited to
container port truck scheduling; it offers a versatile framework applicable to
various dynamic scheduling challenges. Its practicality, coupled with its
interpretability and ease of modification, makes it a valuable tool for diverse
real-world scenarios.",Genetic Programming with Reinforcement Learning Trained Transformer for Real-World Dynamic Scheduling Problems,,scientific,arXiv_new,1456,,,,,,,,,0,0.0
"Understanding collective self-organization in active matter, such as bird
flocks and fish schools, remains a grand challenge in physics. Alignment
interactions are essential for flocking, yet alone, they are generally
considered insufficient to maintain cohesion against noise, forcing traditional
models to rely on artificial boundaries or added attractive forces. Here, we
report the first model to achieve cohesive flocking using purely alignment
interactions, introducing predictive alignment: agents orient based on the
predicted future headings of their neighbors. Implemented in a discrete-time
Vicsek-type framework, this approach delivers robust, noise-resistant cohesion
without additional parameters. In the stable regime, flock size scales linearly
with interaction radius, remaining nearly immune to noise or propulsion speed,
and the group coherently follows a leader under noise. These findings reveal
how predictive strategies enhance self-organization, paving the way for a new
class of active matter models blending physics and cognitive-like dynamics.",Active Matter Flocking via Predictive Alignment,,scientific,arXiv_new,1070,,,,,,,,,0,0.0
"Recently, flow matching based speech synthesis has significantly enhanced the
quality of synthesized speech while reducing the number of inference steps. In
this paper, we introduce SlimSpeech, a lightweight and efficient speech
synthesis system based on rectified flow. We have built upon the existing
speech synthesis method utilizing the rectified flow model, modifying its
structure to reduce parameters and serve as a teacher model. By refining the
reflow operation, we directly derive a smaller model with a more straight
sampling trajectory from the larger model, while utilizing distillation
techniques to further enhance the model performance. Experimental results
demonstrate that our proposed method, with significantly reduced model
parameters, achieves comparable performance to larger models through one-step
sampling.",SlimSpeech: Lightweight and Efficient Text-to-Speech with Slim Rectified Flow,,scientific,arXiv_new,832,,,,,,,,,0,0.0
"Focal cortical dysplasia (FCD) type II is a major cause of drug-resistant
epilepsy, often curable only by surgery. Despite its clinical importance, the
diagnosis of FCD is very difficult in MRI because of subtle abnormalities,
leading to misdiagnosis. This study investigates the use of 3D convolutional
neural networks (3D-CNNs) for FCD detection, using a dataset of 170 subjects
(85 FCD patients and 85 controls) composed of T1-weighted and FLAIR MRI scans.
In particular, it investigates the benefits obtained from cross-modality
transfer learning and explainable artificial intelligence (XAI) techniques, in
particular Gradient-weighted Class Activation Mapping (Grad-CAM). ResNet
architectures (ResNet-18, -34, and -50) were implemented, employing transfer
learning strategies that used pre-trained weights from segmentation tasks.
Results indicate that transfer learning significantly enhances classification
accuracy (up to 80.3%) and interpretability, as measured by a novel Heat-Score
metric, which evaluates the model's focus on clinically relevant regions.
Improvements in the Heat-Score metric underscore the model's seizure zone
localization capabilities, bringing AI predictions and clinical insights closer
together. These results highlight the importance of transfer learning,
including cross-modality, and XAI in advancing AI-based medical diagnostics,
especially for difficult-to-diagnose pathologies such as FCD.",Focal Cortical Dysplasia Type II Detection Using Cross Modality Transfer Learning and Grad-CAM in 3D-CNNs for MRI Analysis,,scientific,arXiv_new,1431,,,,,,,,,0,0.0
"Recently, a growing number of experts in artificial intelligence (AI) and
medicine have be-gun to suggest that the use of AI systems, particularly
machine learning (ML) systems, is likely to humanise the practice of medicine
by substantially improving the quality of clinician-patient relationships. In
this thesis, however, I argue that medical ML systems are more likely to
negatively impact these relationships than to improve them. In particular, I
argue that the use of medical ML systems is likely to comprise the quality of
trust, care, empathy, understanding, and communication between clinicians and
patients.",Data over dialogue: Why artificial intelligence is unlikely to humanise medicine,,scientific,arXiv_new,618,,,,,,,,,0,0.0
