document,question,answer,source,document_type,document_length,question_length,answer_length,answer_to_document_ratio,question_ru,answer_ru,document_ru,question_type
"kim philby, a soviet double agent, was a correspondent for the newspaper in spain during the spanish civil war of the late 1930s. philby was admired for his courage in obtaining high-quality reporting from the front lines of the bloody conflict. he later joined mi6 during world war ii, was promoted into senior positions after the war ended, then eventually defected to the soviet union in 1963.","during world war ii, the soviet double agent who was corresponding for the times in spain in the 1930s later joined what agency?",mi6,SQuAD,Wikipedia Article,396,128,3,0.007575757575757576,"В 1930-х годах во время Второй мировой войны к какому агентству присоединился двойный агент совиет, который соответствовал временам в спайне?",mi6,"Ким Филби, двойной агент совиета, был корреспондентом газеты в спайне во время испанской гражданской войны конца 1930-х годов. Филби восхищался его мужеством получить высококачественные сообщения от фронта кровавого конфликта. Позднее он присоединился к ми6 во время мировой войны II, был повышен на старшие должности после окончания войны, а затем в 1963 году в конечном итоге перешел в свитский союз.",как
"matsushita provided a cash infusion, but the clash of cultures was too great to overcome, and five years later matsushita sold an 80% stake in mca/universal to canadian drinks distributor seagram for $5.7 billion. seagram sold off its stake in dupont to fund this expansion into the entertainment industry. hoping to build an entertainment empire around universal, seagram bought polygram in 1999 and other entertainment properties, but the fluctuating profits characteristic of hollywood were no substitute for the reliable income stream gained from the previously held shares in dupont.",what company did seagram buy in 1999?,polygram,SQuAD,Wikipedia Article,588,37,8,0.013605442176870748,Какую компанию купила Seagram в 1999 году?,полиграмма,"Мацушита влила деньги, но столкновение культур было слишком большим, чтобы преодолеть, и пять лет спустя мацусита продала 80% акций в Mca/универсальную для канадианского дистрибьютора выпивки за 5,7 млрд. долларов. Морская грамма продала свою долю в дюпоне для финансирования этого расширения индустрии развлечений. В надежде построить империю развлечений вокруг универсального, мореграмма купила полиграмму в 1999 году и другие развлекательные объекты, но колебания прибыли, характерные для Голливуда, не заменили надежного потока доходов, полученных от ранее удерживаемых акций в Дупонте.",как
"the islamic golden age coincided with the middle ages in the muslim world, starting with the rise of islam and establishment of the first islamic state in 622. the end of the age is variously given as 1258 with the mongolian sack of baghdad, or 1492 with the completion of the christian reconquista of the emirate of granada in al-andalus, iberian peninsula. during the reign of the abbasid caliph harun ar-rashid (786 to 809), the legendary house of wisdom was inaugurated in baghdad where scholars from various parts of the world sought to translate and gather all the known world's knowledge into arabic. the abbasids were influenced by the quranic injunctions and hadiths, such as ""the ink of a scholar is more holy than the blood of a martyr,"" that stressed the value of knowledge. the major islamic capital cities of baghdad, cairo, and córdoba became the main intellectual centers for science, philosophy, medicine, and education. during this period, the muslim world was a collection of cultures; they drew together and advanced the knowledge gained from the ancient greek, roman, persian, chinese, indian, egyptian, and phoenician civilizations.",what years did abbasid caliph harun ar-rashid reign?,786 to 809,SQuAD,Wikipedia Article,1154,52,10,0.008665511265164644,В какие годы царил Аббасид Калиф Харун Ар-Ашид?,786-809,"Иламский золотой век совпал со средним возрастом в мусульманском мире, начиная с подъема илама и установления первого иламического состояния в 622. Конец этого века в разной степени указан как 1258 с монголианским мешком багдадада, или 1492 с завершением христианской реконкустрации эмирата гранады в аль-андалусе, иберийский полуостров Во время правления abbasid Kaliph Haruran ar-rashid (786-809) легендарный дом мудрости был открыт в багдаде, где ученые из различных частей мира стремились перевести и собрать все известные знания мира на арабику. Аббасиды были под влиянием куранических предписаний и хадитов, таких как «черные чернила ученого более священны, чем кровь мученика», которые подчеркивали ценность знаний. В течение этого периода муслимский мир был коллекцией культур; он собрал вместе и усовершенствовал знания, полученные от древних греческих, римских, персианских, китайских, индейских, египтянских и финикских цивилизаций.",что/какой
"the bronx has also become home to a peculiar poetic tribute, in the form of the heinrich heine memorial, better known as the lorelei fountain from one of heine's best-known works (1838). after heine's german birthplace of düsseldorf had rejected, allegedly for anti-semitic motives, a centennial monument to the radical german-jewish poet (1797–1856), his incensed german-american admirers, including carl schurz, started a movement to place one instead in midtown manhattan, at fifth avenue and 59th street. however, this intention was thwarted by a combination of ethnic antagonism, aesthetic controversy and political struggles over the institutional control of public art.",when was the lorelei fountain written about?,1838,SQuAD,Wikipedia Article,676,44,4,0.005917159763313609,о котором писал фонтан Лорелея?,1838,"Бронкс также стал домом для особого поэтического поминания в виде гениального мемориала Генриха, более известного как фонтан Лорелея из одного из самых известных произведений геенны (1838 год) После того, как германское место рождения дюссельдорфа отвергло, предположительно по антисемитским мотивам, столетний памятник радикальному немецко-еврейскому поэту (1797—1856), его возлюбленные немецкие поклонники, в том числе Карл Шурц, начали движение, чтобы поместить его вместо этого в центр города Манхэттен на пятом авеню и на 59-й улице. Однако это намерение было сорвано сочетанием этнического антагонизма, эстетического спора и политической борьбы за институциональный контроль над общественным искусством.",другое
"richmond is located at the fall line of the james river, 44 miles (71 km) west of williamsburg, 66 miles (106 km) east of charlottesville, and 98 miles (158 km) south of washington, d.c. surrounded by henrico and chesterfield counties, the city is located at the intersections of interstate 95 and interstate 64, and encircled by interstate 295 and virginia state route 288. major suburbs include midlothian to the southwest, glen allen to the north and west, short pump to the west and mechanicsville to the northeast.",name at least two major suburbs of richmond.,"midlothian to the southwest, glen allen to the north and west, short pump to the west and mechanicsville to the northeast",SQuAD,Wikipedia Article,519,44,121,0.23314065510597304,Назовите по крайней мере два крупных пригорода Ричмонда.,"Мидлотиан на юго-западе, глен Аллен на севере и западе, короткий насос на западе и механика на северо-востоке","Ричмонд расположен на осенней линии реки Джеймс, в 71 км к западу от Вильямсбурга, в 106 км к востоку от Шарлоттвилля и в 98 км к югу от Вашингтона, округ Генрико и Шейферфилд, город расположен на перекрестках между 95 и 64 штатами и окружен межштатным 295 и штатным маршрутом 288 К числу крупных пригородов относятся среднелотианцы на юго-западе, глен Аллен на севере и западе, короткий насос на западе и механика на северо-востоке.",другое
"orthodox judaism is the approach to religious judaism which subscribes to a tradition of mass revelation and adheres to the interpretation and application of the laws and ethics of the torah as legislated in the talmudic texts by the tanaim and amoraim. these texts were subsequently developed and applied by later authorities, known as the gaonim, rishonim, and acharonim. orthodox judaism generally includes modern orthodox judaism (אורתודוקסיה מודרנית) and ultra-orthodox or haredi judaism (יהדות חרדית), but complete within is a wide range of philosophies. although orthodox judaism would probably be considered the mainstream expression of judaism prior to the 19th century, for some orthodox judaism is a modern self-identification that distinguishes it from traditional pre-modern judaism.",what is the name of the book that has the laws and ethics for orthodox judaism?,torah,SQuAD,Wikipedia Article,796,79,5,0.00628140703517588,"Как называется книга, имеющая законы и этику для ортодоксального иудаизма?",Тора,"Ортодоксальный иудаизм - это подход к религиозному иудаизму, который поддерживает традицию массового откровения и придерживается толкования и применения законов и этических норм Торы, закрепленных в талмудических текстах танаима и амораима. Впоследствии эти тексты были разработаны и применены более поздними властями, известными как гаоним, ризонем и ачароним. Ортодоксальный иудаизм, как правило, включает в себя современный ортодоксальный иудаизм (ортодоксальный или хареди-юдаизм), но полностью внутри себя — широкий спектр философий. Хотя ортодоксальный иудаизм, вероятно, будет рассматриваться как основное выражение иудаизма до XIX века, поскольку некоторые ортодоксальные иудаизмы являются современной самоидентификацией, отличающей его от традиционного домодернального иудаизма.",как
"in a career spanning more than four decades, spielberg's films have covered many themes and genres. spielberg's early science-fiction and adventure films were seen as archetypes of modern hollywood blockbuster filmmaking. in later years, his films began addressing humanistic issues such as the holocaust (in schindler's list), the transatlantic slave trade (in amistad), war (in empire of the sun, saving private ryan, war horse and bridge of spies) and terrorism (in munich). his other films include close encounters of the third kind, the indiana jones film series, and a.i. artificial intelligence.",how long has steven spielberg had his career so far?,more than four decades,SQuAD,Wikipedia Article,602,52,22,0.036544850498338874,Как долго Стивен Спилберг прожил свою карьеру?,более четырех десятилетий,"В течение более чем четырех десятилетий фильмы Спилберга охватывали много тем и жанров. Ранние научно-фантастические и приключенческие фильмы Спилберга рассматривались как архетипы современного голливудского брускера. В последующие годы его фильмы стали затрагивать такие гуманистические вопросы, как холокост (в списке шиндлеров), трансатлантическая работорговля (в амистаде), война (в империи солнца, спасение частного рьяна, военные лошади и мосты шпионов) и терроризм (в мюнике) Его другие фильмы включают тесные встречи третьего вида, фильмы Индианы Джонс и искусственный интеллект.",как
"in germany, groups such as einstürzende neubauten developed a unique style of industrial music, utilizing avant-garde noise, homemade instruments and found objects. members of that group would later go on to collaborate with members of the birthday party. in brazil, the post-punk scene grew after the generation of brasilia rock with bands such as legião urbana, capital inicial and plebe rude and then the opening of the music club madame satã in são paulo, with acts like cabine c, titãs, patife band, fellini and mercenárias, as documented on compilations like the sexual life of the savages and the não wave/não são paulo series, released in the uk, germany and brazil, respectively.[citation needed]",what country had a post-punk scene after a generation of rock?,brazil,SQuAD,Wikipedia Article,705,62,6,0.00851063829787234,В какой стране была сцена после панк-сцены после поколения камней?,Бразил,"В Германии такие группы, как Einstürzende neubauten, разработали уникальный стиль промышленной музыки, используя авангардный шум, самодельные инструменты и найденные предметы. Позднее члены этой группы будут сотрудничать с членами вечеринки по случаю дня рождения. В Бразиле после панк-сцена росла после образования бразилийского рока с такими группами, как легиан урбана, столица и плебе, а затем открытие музыкального клуба мадам Сатиан в Сан-Пауло, с такими вещами, как хижина c, титанс, патифе, фалини и мерсенариас, как документальное подтверждение на сборниках, таких, как сексуальная жизнь дикарей и серия Nanwa/nan san Palo, выпущенная в uk, germany и brazil, соответственно.",что/какой
"in 2004, sme and bertelsmann music group merged as sony bmg music entertainment. when sony acquired bmg's half of the conglomerate in 2008, sony bmg reverted to the sme name. the buyout led to the dissolution of bmg, which then relaunched as bmg rights management. out of the ""big three"" record companies, with universal music group being the largest and warner music group, sme is middle-sized.",in what year did sme merge with another company?,2004,SQuAD,Wikipedia Article,395,48,4,0.010126582278481013,В каком году Sme объединился с другой компанией?,2004 год,"В 2004 году Sme и Bertelsmann Music Group объединились как Soy bmg Music Music Enterprise. Когда в 2008 году Somey приобрела половину композиции BMG, Sony bmg вернулась к названию sme. Покупка привела к распаду BMg, который затем возобновился как BMg Greights Management. из ""Больших трёх"" музыкальных компаний, при этом универсальная музыкальная группа была крупнейшей и увещательной музыкальной группой, Sme является средним.",как
"in 2012 the paris agglomeration (urban area) counted 28,800 people without a fixed residence, an increase of 84 percent since 2001; it represents 43 percent of the homeless in all of france. forty-one percent were women, and 29 percent were accompanied by children. fifty-six percent of the homeless were born outside france, the largest number coming from africa and eastern europe. the city of paris has sixty homeless shelters, called centres d'hébergement et de réinsertion sociale or chrs, which are funded by the city and operated by private charities and associations.",what percentage of homeless people are women?,43,SQuAD,Wikipedia Article,575,45,2,0.0034782608695652175,Какая доля бездомных - женщины?,43,"В 2012 году агломерация Парижа (городская зона) составила 28 800 человек, не имеющих постоянного места жительства, что на 84 процента больше, чем в 2001 году; на нее приходится 43 процента бездомных во всех франках. 41 процент женщин и 29 процентов сопровождались детьми. 56 процентов бездомных родились за пределами франка, что является самым большим показателем среди выходцев из Африки и восточной Европы. В городе Париж имеется 60 приютов для бездомных, которые называются центрами социальной реабилитации или социальной реинтеграции и которые финансируются из бюджета города и управляются частными благотворительными организациями и ассоциациями.",что/какой
"for most of its independent years, the country has been engrossed in rampant ethnic strife and burma's myriad ethnic groups have been involved in one of the world's longest-running ongoing civil wars. during this time, the united nations and several other organisations have reported consistent and systematic human rights violations in the country. in 2011, the military junta was officially dissolved following a 2010 general election, and a nominally civilian government was installed. while former military leaders still wield enormous power in the country, burmese military have taken steps toward relinquishing control of the government. this, along with the release of aung san suu kyi and political prisoners, has improved the country's human rights record and foreign relations, and has led to the easing of trade and other economic sanctions. there is, however, continuing criticism of the government's treatment of the muslim rohingya minority and its poor response to the religious clashes. in the landmark 2015 election, aung san suu kyi's party won a majority in both houses, ending military rule.",what major conflict is myanmar known for?,one of the world's longest-running ongoing civil wars.,SQuAD,Wikipedia Article,1111,41,54,0.048604860486048604,Какой большой конфликт известен Мианмару?,одна из самых продолжительных гражданских войн в мире.,"В течение большей части своих независимых лет страна была охвачена буйными этническими беспорядками, и множество этнических групп бурмы были вовлечены в одну из самых продолжительных гражданских войн в мире. В течение этого времени объединенные государства и несколько других организаций сообщали о систематических и систематических нарушениях прав человека в стране. В 2011 году после всеобщих выборов 2010 года военная хунта была официально распущена, и было официально сформировано гражданское правительство. В то время как бывшие военные лидеры по-прежнему обладают огромной властью в стране, бурмские военные предприняли шаги к тому, чтобы отказаться от контроля над правительством. Это, наряду с освобождением аунг-суу-кий и политических заключенных, улучшило положение в области прав человека в стране и международные отношения и привело к ослаблению торговых и других экономических санкций. Тем не менее, продолжается критика того, как правительство относится к меньшинству мусульман и плохо реагирует на религиозные столкновения. В ходе выборов 2015 года партия Аунг-Сану-Ки получила большинство в обоих домах, что положило конец военному правлению.",что/какой
"athanasius is the first person to identify the same 27 books of the new testament that are in use today. up until then, various similar lists of works to be read in churches were in use. athanasius compiled the list to resolve questions about such texts as the epistle of barnabas. athanasius includes the book of baruch and the letter of jeremiah and places the book of esther among the ""7 books not in the canon but to be read"" along with the wisdom of solomon, sirach (ecclesiasticus), judith, tobit, the didache, and the shepherd of hermas.",how many books are in the new testament?,27 books,SQuAD,Wikipedia Article,544,40,8,0.014705882352941176,Сколько книг в новом завещании?,27 книг,"Атаназий был первым человеком, идентифицировавшим те же 27 книг нового завещания, которые используются сегодня. До этого времени использовались различные схожие перечни работ, которые должны были быть прочитаны в церквях. Атанасий составил список для решения вопросов о таких текстах, как эпоха Барнабаса. Афанасий включает в себя книгу баруха и букву еремии и ставит книгу Естера среди «семь книг не в каноне, а для чтения» наряду с мудростью соломона, сирата (экклезиастика), Джудита, тобита, диачей и пастыря травы.",другое
"a servomotor is a motor, very often sold as a complete module, which is used within a position-control or speed-control feedback control system mainly control valves, such as motor-operated control valves. servomotors are used in applications such as machine tools, pen plotters, and other process systems. motors intended for use in a servomechanism must have well-documented characteristics for speed, torque, and power. the speed vs. torque curve is quite important and is high ratio for a servo motor. dynamic response characteristics such as winding inductance and rotor inertia are also important; these factors limit the overall performance of the servomechanism loop. large, powerful, but slow-responding servo loops may use conventional ac or dc motors and drive systems with position or speed feedback on the motor. as dynamic response requirements increase, more specialized motor designs such as coreless motors are used. ac motors' superior power density and acceleration characteristics compared to that of dc motors tends to favor pm synchronous, bldc, induction, and srm drive applications.",what may servo motors be used for?,"machine tools, pen plotters, and other process systems",SQuAD,Wikipedia Article,1106,34,54,0.048824593128390596,для чего могут использоваться серводвигатели?,"машинные инструменты, планировщики ручного аппарата и другие технологические системы","серводвигатель - это двигатель, который очень часто продается в качестве полного модуля, который используется в системе контроля положения или контроля скорости с обратной связью, главным образом в клапанах управления, таких, как клапаны управления с механическим приводом. Серводвигатели используются в таких видах применения, как машинные инструменты, планировщики ручного покрытия и другие технологические системы. Моторы, предназначенные для использования в системе сервизного управления, должны иметь хорошо задокументированные характеристики скорости, крутящего момента и мощности. Кривая крутящего момента имеет весьма важное значение и является высоким коэффициентом для серводвигателя. ac моторные характеристики более высокой плотности мощности и ускорения по сравнению с Dc моторами, как правило, благоприятствуют применению приводов с синхронизацией pm, bldc, инъекции и srm.",другое
"though queen, as an unmarried young woman victoria was required by social convention to live with her mother, despite their differences over the kensington system and her mother's continued reliance on conroy. her mother was consigned to a remote apartment in buckingham palace, and victoria often refused to see her. when victoria complained to melbourne that her mother's close proximity promised ""torment for many years"", melbourne sympathised but said it could be avoided by marriage, which victoria called a ""schocking  [sic] alternative"". she showed interest in albert's education for the future role he would have to play as her husband, but she resisted attempts to rush her into wedlock.",whi did victoria have to live with because she was unmarried?,her mother,SQuAD,Wikipedia Article,696,61,10,0.014367816091954023,"Виктории пришлось жить, потому что она была не замужем?",своей матери,"Хотя королева, будучи незамужней молодой женщиной Викторией, должна была жить со своей матерью, несмотря на их разногласия по поводу системы Кенсингтона и продолжающейся зависимости ее матери от конрой. Ее мать была отправлена в удалённую квартиру во дворце Бакингем, и Виктория часто отказывалась ее видеть. Когда Виктория пожаловалась Мелборну на то, что близость ее матери обещала «сохранение на протяжении многих лет», она симпатизировала Мелборну, но сказала, что этого можно избежать путем брака, который Виктория назвала «посмешищем»». Она проявила интерес к образованию Альберта для будущей роли, которую он должен будет играть в качестве своего мужа, но она сопротивлялась попыткам поторопить ее к браку.",что/какой
"archaeology confirms the widespread use of binding spells (defixiones), magical papyri and so-called ""voodoo dolls"" from a very early era. around 250 defixiones have been recovered just from roman britain, in both urban and rural settings. some seek straightforward, usually gruesome revenge, often for a lover's offense or rejection. others appeal for divine redress of wrongs, in terms familiar to any roman magistrate, and promise a portion of the value (usually small) of lost or stolen property in return for its restoration. none of these defixiones seem produced by, or on behalf of the elite, who had more immediate recourse to human law and justice. similar traditions existed throughout the empire, persisting until around the 7th century ad, well into the christian era.",what did the elite use instead of spells and potions to redress a wrong?,law and justice,SQuAD,Wikipedia Article,781,72,15,0.019206145966709345,"Что элита использовала вместо заклинаний и зелья, чтобы исправить ошибку?",право и правосудие,"Археология подтверждает широко распространенное использование связующих заклинаний (дефиксионов), волшебных папири и так называемых ""вудо-кукол"" с самого раннего времени. Около 250 дефиксионов были извлечены из римского бритья, как в городских, так и в сельских условиях. Некоторые стремятся к прямой, обычно отвратительной мести, часто за оскорбление или отказ любовника. Другие призывают к божественному возмещению вреда, знакомого с любым римским магистратом, и обещают часть стоимости (обычно небольшой) утраченного или похищенного имущества в обмен на его восстановление. Ни один из этих дефиксионов, по всей видимости, не был произведен элитой или от ее имени, которая более непосредственно обращалась к человеческому праву и справедливости. Аналогичные традиции существовали во всей империи, сохраняясь до конца VII века, в эпоху христианства.",что/какой
"there is no single definition of an ""aircraft carrier"", and modern navies use several variants of the type. these variants are sometimes categorized as sub-types of aircraft carriers, and sometimes as distinct types of naval aviation-capable ships. aircraft carriers may be classified according to the type of aircraft they carry and their operational assignments. admiral sir mark stanhope, former head of the royal navy, has said that ""to put it simply, countries that aspire to strategic international influence have aircraft carriers"".","who said, ""countries that aspire to strategic international influence have aircraft carriers""?",admiral sir mark stanhope,SQuAD,Wikipedia Article,539,94,25,0.04638218923933209,"Кто сказал: «страны, стремящиеся к стратегическому международному влиянию, имеют авианосцев»?",Адмирал сэр Марк Стэнхоуп,":: не существует единого определения понятия &quot; зенитный транспорт &quot; , и современные мореплаватели используют несколько вариантов этого типа. Иногда эти варианты классифицируются как подтипы воздушных перевозчиков, а иногда и как отдельные типы морских судов, способных нести воздушные суда. Адмирал сэр Марк Стэнхоп, бывший глава королевского флота, сказал, что «проще говоря, страны, стремящиеся к стратегическому международному влиянию, имеют авианосцев».",кто
"as african states became independent in the 1960s, the soviet union offered many of their citizens the chance to study in russia. over a period of 40 years, about 400,000 african students from various countries moved to russia to pursue higher studies, including many black africans. this extended beyond the soviet union to many countries of the eastern bloc.",how many students moved from africa to russia?,"about 400,000",SQuAD,Wikipedia Article,360,46,13,0.03611111111111111,Сколько студентов переехали из Африки в Россию?,около 400 000,"За 40 лет около 400 000 афроамериканских студентов из различных стран переехали в Россию для получения высшего образования, в том числе многих чёрных африканцев, что распространилось и на многие страны восточного блока.",другое
"on 20 december 2012, pope benedict xvi, in an audience with the cardinal prefect of the congregation for the causes of saints, declared that the late pontiff had lived a life of heroic virtue, which means that he could be called ""venerable"". a miracle attributed to the intercession of paul vi was approved on 9 may 2014 by pope francis. the beatification ceremony for paul vi was held on 19 october 2014, which means that he can now be called ""blessed"". his liturgical feast day is celebrated on the date of his birth, 26 september, rather than the day of his death as is usual.",on what day was paul vi born?,26 september,SQuAD,Wikipedia Article,579,29,12,0.02072538860103627,В какой день родился Пол Ви?,26 септембер,"20 декабря 2012 года папа Бенедикт xvi в присутствии главного префекта собрания по делам святых заявил, что покойный понтиф прожил жизнь героической добродетели, что означает, что его можно назвать «королевой». 9 мая 2014 года папа Францис одобрил чудо, приписываемое заступничеству Поля vi. Церемония избиения Поля vi состоялась 19 октября 2014 года, что означает, что теперь его можно назвать «благословить». Его литургийский праздник празднуется в день его рождения, 26 сентября, а не в день его смерти, как обычно.",что/какой
"the interactions of carbonate anions with uranium(vi) cause the pourbaix diagram to change greatly when the medium is changed from water to a carbonate containing solution. while the vast majority of carbonates are insoluble in water (students are often taught that all carbonates other than those of alkali metals are insoluble in water), uranium carbonates are often soluble in water. this is because a u(vi) cation is able to bind two terminal oxides and three or more carbonates to form anionic complexes.",what notable carbonates are often water soluble?,uranium,SQuAD,Wikipedia Article,509,48,7,0.0137524557956778,Какие примечательные карбонаты часто растворяются в воде?,уран,"- взаимодействие карбонатных анионов с ураном (vi) приводит к значительным изменениям в диаграмме разбрызгивания, когда среда изменяется с воды на раствор, содержащий карбонат. В то время как подавляющее большинство карбонатов не растворимо в воде (студентов часто учат, что все карбонаты, кроме щелочных металлов, нерастворимы в воде), урановые карбонаты часто растворяются в воде. Это объясняется тем, что катиона u(vi) способна связывать два оксида и три или более карбонатов для создания анионовых комплексов.",что/какой
"some scholars and organizations disagree with the notion of ""separation of church and state"", or the way the supreme court has interpreted the constitutional limitation on religious establishment. such critics generally argue that the phrase misrepresents the textual requirements of the constitution, while noting that many aspects of church and state were intermingled at the time the constitution was ratified. these critics argue that the prevalent degree of separation of church and state could not have been intended by the constitutional framers. some of the intermingling between church and state include religious references in official contexts, and such other founding documents as the united states declaration of independence, which references the idea of a ""creator"" and ""nature's god"", though these references did not ultimately appear in the constitution nor do they mention any particular religious view of a ""creator"" or ""nature's god.""",what do critics note were intermingled at the time the constitution was ratified?,many aspects of church and state,SQuAD,Wikipedia Article,954,81,32,0.033542976939203356,Что было отмечено критиками во время ратификации конституции?,многие аспекты церкви и государства,"Некоторые ученые и организации не согласны с понятием ""разделения церкви и государства"" или с толкованием Верховным судом конституционного ограничения религиозного образования. эти критики утверждают, что преобладающее разделение церкви и государства не могло быть предначертано конституционными основателями Некоторые из переплетений между церковью и государством включают религиозные ссылки в официальных контекстах, а также такие другие основополагающие документы, как Декларация независимости объединенных государств, в которой упоминается идея « творца» и «бога природы», хотя эти ссылки в конечном счете не были включены в конституцию и не упоминались какие-либо конкретные религиозные взгляды на « творца» или «бога природы ».",что/какой
"it was believed that immortality could be achieved if one reached the lands of the queen mother of the west or mount penglai. han-era daoists assembled into small groups of hermits who attempted to achieve immortality through breathing exercises, sexual techniques and use of medical elixirs. by the 2nd century ad, daoists formed large hierarchical religious societies such as the way of the five pecks of rice. its followers believed that the sage-philosopher laozi (fl. 6th century bc) was a holy prophet who would offer salvation and good health if his devout followers would confess their sins, ban the worship of unclean gods who accepted meat sacrifices and chant sections of the daodejing.",what literal work were followers of laozi expected to chant?,daodejing,SQuAD,Wikipedia Article,697,60,9,0.01291248206599713,Какую буквальную работу должны были скандировать последователи лаоси?,dodejing,"Считается, что бессмертие может быть достигнуто, если достичь земли королевы - матери запада или горы пэнглаи. &quot; Хан-эра даоисты &quot; собрались в небольшие группы отшельников, которые пытались достичь бессмертия посредством дыхательных упражнений, сексуальных приемов и использования медицинских эликсиров. Во втором веке в рекламе даоисты сформировали крупные иерархические религиозные общества, такие как путь пяти пятерых пятен риса. &quot; его последователи &quot; считали, что &quot; мудрецы-философы &quot; , &quot; лаози &quot; ( &quot; fl &quot; ). 6 - й век б) был святым пророком, который предложил бы спасение и хорошее здоровье, если бы его верные последователи признались в своих грехах, запретили поклонение нечистым богам, которые принимали жертвоприношения на мясо, и скандировали части даодеджинга.",как
